gene	cluster
AT1G01720	UU
AT1G01830	UU
AT1G01940	UU
AT1G02090	UU
AT1G02290	UU
AT1G02510	UU
AT1G02660	UU
AT1G02700	UU
AT1G02980	UU
AT1G03070	UU
AT1G03180	UU
AT1G03860	UU
AT1G03970	UU
AT1G03980	UU
AT1G04130	UU
AT1G04570	UU
AT1G04980	UU
AT1G05575	UU
AT1G06030	UU
AT1G07135	UU
AT1G07330	UU
AT1G07350	UU
AT1G07400	UU
AT1G07410	UU
AT1G07500	UU
AT1G07670	UU
AT1G07890	UU
AT1G08460	UU
AT1G08930	UU
AT1G09070	UU
AT1G09140	UU
AT1G10050	UU
AT1G10230	UU
AT1G10960	UU
AT1G10970	UU
AT1G11100	UU
AT1G11270	UU
AT1G11660	UU
AT1G12060	UU
AT1G12064	UU
AT1G12650	UU
AT1G13195	UU
AT1G13360	UU
AT1G13600	UU
AT1G13690	UU
AT1G13990	UU
AT1G14200	UU
AT1G14205	UU
AT1G14360	UU
AT1G14980	UU
AT1G15010	UU
AT1G15410	UU
AT1G15415	UU
AT1G15550	UU
AT1G15970	UU
AT1G16022	UU
AT1G16025	UU
AT1G16030	UU
AT1G16040	UU
AT1G16640	UU
AT1G17870	UU
AT1G18300	UU
AT1G18330	UU
AT1G19020	UU
AT1G19530	UU
AT1G20310	UU
AT1G20350	UU
AT1G20440	UU
AT1G20450	UU
AT1G20640	UU
AT1G21410	UU
AT1G21550	UU
AT1G21940	UU
AT1G22110	UU
AT1G22190	UU
AT1G22985	UU
AT1G23180	UU
AT1G26800	UU
AT1G27080	UU
AT1G27090	UU
AT1G27170	UU
AT1G27350	UU
AT1G27730	UU
AT1G27770	UU
AT1G28550	UU
AT1G29150	UU
AT1G29260	UU
AT1G29470	UU
AT1G29640	UU
AT1G29770	UU
AT1G29780	UU
AT1G30060	UU
AT1G30070	UU
AT1G30190	UU
AT1G30473	UU
AT1G30475	UU
AT1G31270	UU
AT1G31335	UU
AT1G31370	UU
AT1G32330	UU
AT1G32880	UU
AT1G32920	UU
AT1G33055	UU
AT1G33350	UU
AT1G33500	UU
AT1G33760	UU
AT1G33770	UU
AT1G35210	UU
AT1G35660	UU
AT1G44350	UU
AT1G44414	UU
AT1G45145	UU
AT1G47510	UU
AT1G48700	UU
AT1G49130	UU
AT1G49710	UU
AT1G49790	UU
AT1G50390	UU
AT1G50740	UU
AT1G50750	UU
AT1G52560	UU
AT1G52690	UU
AT1G52870	UU
AT1G53180	UU
AT1G53540	UU
AT1G53730	UU
AT1G54050	UU
AT1G54160	UU
AT1G54830	UU
AT1G55300	UU
AT1G55310	UU
AT1G55340	UU
AT1G55530	UU
AT1G55620	UU
AT1G56060	UU
AT1G56170	UU
AT1G56300	UU
AT1G56440	UU
AT1G56600	UU
AT1G58170	UU
AT1G59860	UU
AT1G59865	UU
AT1G59980	UU
AT1G60470	UU
AT1G61340	UU
AT1G62730	UU
AT1G62740	UU
AT1G62760	UU
AT1G62950	UU
AT1G63730	UU
AT1G63840	UU
AT1G64200	UU
AT1G65980	UU
AT1G66080	UU
AT1G66090	UU
AT1G66400	UU
AT1G66500	UU
AT1G66510	UU
AT1G67360	UU
AT1G67370	UU
AT1G67540	UU
AT1G67920	UU
AT1G68140	UU
AT1G68290	UU
AT1G68300	UU
AT1G68320	UU
AT1G68930	UU
AT1G69840	UU
AT1G70300	UU
AT1G71000	UU
AT1G72100	UU
AT1G72416	UU
AT1G72660	UU
AT1G72760	UU
AT1G72900	UU
AT1G73010	UU
AT1G73380	UU
AT1G73480	UU
AT1G73740	UU
AT1G73750	UU
AT1G74240	UU
AT1G74300	UU
AT1G74310	UU
AT1G74320	UU
AT1G75980	UU
AT1G76080	UU
AT1G76190	UU
AT1G76640	UU
AT1G77000	UU
AT1G77290	UU
AT1G77410	UU
AT1G77460	UU
AT1G78310	UU
AT1G78380	UU
AT1G78390	UU
AT1G78400	UU
AT1G78600	UU
AT1G79550	UU
AT1G79780	UU
AT1G79915	UU
AT1G79920	UU
AT2G01150	UU
AT2G01390	UU
AT2G02750	UU
AT2G02760	UU
AT2G02795	UU
AT2G02810	UU
AT2G03560	UU
AT2G04520	UU
AT2G04530	UU
AT2G06530	UU
AT2G07667	UU
AT2G07671	UU
AT2G07674	UU
AT2G07698	UU
AT2G07722	UU
AT2G07728	UU
AT2G07739	UU
AT2G07775	UU
AT2G07779	UU
AT2G07787	UU
AT2G07806	UU
AT2G15790	UU
AT2G16250	UU
AT2G16720	UU
AT2G17680	UU
AT2G17900	UU
AT2G18510	UU
AT2G19310	UU
AT2G20560	UU
AT2G20720	UU
AT2G20880	UU
AT2G21130	UU
AT2G21820	UU
AT2G21940	UU
AT2G22088	UU
AT2G22090	UU
AT2G22240	UU
AT2G23110	UU
AT2G23810	UU
AT2G24100	UU
AT2G24680	UU
AT2G24681	UU
AT2G24840	UU
AT2G25110	UU
AT2G25140	UU
AT2G25950	UU
AT2G26000	UU
AT2G26010	UU
AT2G26140	UU
AT2G26150	UU
AT2G26530	UU
AT2G27080	UU
AT2G27200	UU
AT2G27580	UU
AT2G27790	UU
AT2G28000	UU
AT2G29450	UU
AT2G29500	UU
AT2G30000	UU
AT2G30480	UU
AT2G32120	UU
AT2G32130	UU
AT2G32140	UU
AT2G32150	UU
AT2G32190	UU
AT2G32210	UU
AT2G33585	UU
AT2G33590	UU
AT2G33670	UU
AT2G33700	UU
AT2G33735	UU
AT2G34040	UU
AT2G34590	UU
AT2G34890	UU
AT2G35035	UU
AT2G36220	UU
AT2G36460	UU
AT2G37180	UU
AT2G37440	UU
AT2G37800	UU
AT2G38340	UU
AT2G38470	UU
AT2G39650	UU
AT2G40300	UU
AT2G40340	UU
AT2G40830	UU
AT2G41100	UU
AT2G41160	UU
AT2G41835	UU
AT2G42400	UU
AT2G43018	UU
AT2G43020	UU
AT2G43500	UU
AT2G43630	UU
AT2G44130	UU
AT2G44840	UU
AT2G45350	UU
AT2G45360	UU
AT2G45380	UU
AT2G45840	UU
AT2G46240	UU
AT2G46600	UU
AT2G47180	UU
AT2G47520	UU
AT2G47720	UU
AT2G47730	UU
AT2G47950	UU
AT3G01070	UU
AT3G02990	UU
AT3G03270	UU
AT3G03310	UU
AT3G03320	UU
AT3G04120	UU
AT3G04200	UU
AT3G04640	UU
AT3G04710	UU
AT3G05030	UU
AT3G05327	UU
AT3G06420	UU
AT3G06540	UU
AT3G06660	UU
AT3G07080	UU
AT3G07090	UU
AT3G07150	UU
AT3G07350	UU
AT3G07370	UU
AT3G07770	UU
AT3G08590	UU
AT3G08690	UU
AT3G08700	UU
AT3G08720	UU
AT3G08970	UU
AT3G09085	UU
AT3G09230	UU
AT3G09350	UU
AT3G09440	UU
AT3G09640	UU
AT3G09870	UU
AT3G10020	UU
AT3G10640	UU
AT3G10800	UU
AT3G10820	UU
AT3G10985	UU
AT3G11020	UU
AT3G11260	UU
AT3G12050	UU
AT3G12190	UU
AT3G12580	UU
AT3G13130	UU
AT3G13310	UU
AT3G13470	UU
AT3G13840	UU
AT3G14200	UU
AT3G14300	UU
AT3G14440	UU
AT3G14620	UU
AT3G15340	UU
AT3G15770	UU
AT3G16040	UU
AT3G16050	UU
AT3G17400	UU
AT3G17611	UU
AT3G17620	UU
AT3G18370	UU
AT3G18550	UU
AT3G18900	UU
AT3G19270	UU
AT3G20190	UU
AT3G22090	UU
AT3G22100	UU
AT3G22840	UU
AT3G23170	UU
AT3G23637	UU
AT3G23920	UU
AT3G23955	UU
AT3G23990	UU
AT3G24100	UU
AT3G24500	UU
AT3G25013	UU
AT3G25014	UU
AT3G25230	UU
AT3G26300	UU
AT3G26450	UU
AT3G28210	UU
AT3G28740	UU
AT3G29000	UU
AT3G43250	UU
AT3G44110	UU
AT3G46080	UU
AT3G46090	UU
AT3G46200	UU
AT3G46220	UU
AT3G46230	UU
AT3G47160	UU
AT3G48070	UU
AT3G48240	UU
AT3G48540	UU
AT3G49160	UU
AT3G49530	UU
AT3G50800	UU
AT3G50930	UU
AT3G51500	UU
AT3G51520	UU
AT3G51910	UU
AT3G53230	UU
AT3G53990	UU
AT3G54000	UU
AT3G55980	UU
AT3G56250	UU
AT3G56790	UU
AT3G57810	UU
AT3G57880	UU
AT3G58490	UU
AT3G59280	UU
AT3G59430	UU
AT3G59520	UU
AT3G59530	UU
AT3G59730	UU
AT3G60120	UU
AT3G60190	UU
AT3G60250	UU
AT3G60710	UU
AT3G60720	UU
AT3G60940	UU
AT3G61111	UU
AT3G61190	UU
AT3G62260	UU
AT3G62600	UU
AT3G62780	UU
AT3G63060	UU
AT3G63300	UU
AT3G63310	UU
AT3G63350	UU
AT4G00350	UU
AT4G00550	UU
AT4G00670	UU
AT4G00760	UU
AT4G00770	UU
AT4G00940	UU
AT4G01550	UU
AT4G02425	UU
AT4G02430	UU
AT4G02550	UU
AT4G02690	UU
AT4G02980	UU
AT4G03940	UU
AT4G04020	UU
AT4G04540	UU
AT4G05070	UU
AT4G05320	UU
AT4G08230	UU
AT4G09080	UU
AT4G09150	UU
AT4G10040	UU
AT4G10110	UU
AT4G10250	UU
AT4G10330	UU
AT4G11220	UU
AT4G11280	UU
AT4G11660	UU
AT4G11670	UU
AT4G11740	UU
AT4G12400	UU
AT4G12410	UU
AT4G12530	UU
AT4G12690	UU
AT4G12720	UU
AT4G12960	UU
AT4G13395	UU
AT4G13550	UU
AT4G13830	UU
AT4G14270	UU
AT4G14300	UU
AT4G14301	UU
AT4G14695	UU
AT4G14819	UU
AT4G15280	UU
AT4G15410	UU
AT4G15420	UU
AT4G15660	UU
AT4G15670	UU
AT4G15680	UU
AT4G15930	UU
AT4G16500	UU
AT4G16660	UU
AT4G16820	UU
AT4G17230	UU
AT4G17250	UU
AT4G17500	UU
AT4G17585	UU
AT4G17615	UU
AT4G17970	UU
AT4G18280	UU
AT4G18395	UU
AT4G18450	UU
AT4G18880	UU
AT4G19430	UU
AT4G20020	UU
AT4G21090	UU
AT4G21213	UU
AT4G21310	UU
AT4G21320	UU
AT4G21580	UU
AT4G21810	UU
AT4G22240	UU
AT4G22340	UU
AT4G22350	UU
AT4G22670	UU
AT4G22740	UU
AT4G23493	UU
AT4G23570	UU
AT4G23885	UU
AT4G24190	UU
AT4G24280	UU
AT4G24380	UU
AT4G24410	UU
AT4G25130	UU
AT4G25200	UU
AT4G25225	UU
AT4G25340	UU
AT4G25380	UU
AT4G25470	UU
AT4G25810	UU
AT4G26200	UU
AT4G26270	UU
AT4G26500	UU
AT4G26701	UU
AT4G26780	UU
AT4G26990	UU
AT4G27280	UU
AT4G27410	UU
AT4G27460	UU
AT4G27652	UU
AT4G27654	UU
AT4G27657	UU
AT4G27670	UU
AT4G27680	UU
AT4G27890	UU
AT4G27970	UU
AT4G28140	UU
AT4G28390	UU
AT4G28480	UU
AT4G29070	UU
AT4G29330	UU
AT4G29520	UU
AT4G29770	UU
AT4G29780	UU
AT4G29905	UU
AT4G30390	UU
AT4G30940	UU
AT4G31355	UU
AT4G31370	UU
AT4G31380	UU
AT4G31615	UU
AT4G32208	UU
AT4G32280	UU
AT4G32480	UU
AT4G32610	UU
AT4G33440	UU
AT4G33660	UU
AT4G33905	UU
AT4G33930	UU
AT4G33940	UU
AT4G34150	UU
AT4G34410	UU
AT4G35690	UU
AT4G35985	UU
AT4G36010	UU
AT4G36490	UU
AT4G36988	UU
AT4G36990	UU
AT4G37390	UU
AT4G38030	UU
AT4G38580	UU
AT4G39360	UU
AT4G39470	UU
AT4G39520	UU
AT5G01060	UU
AT5G01180	UU
AT5G01350	UU
AT5G01380	UU
AT5G01990	UU
AT5G02020	UU
AT5G02170	UU
AT5G02430	UU
AT5G02490	UU
AT5G02500	UU
AT5G02810	UU
AT5G03160	UU
AT5G03210	UU
AT5G03340	UU
AT5G03435	UU
AT5G03440	UU
AT5G03560	UU
AT5G03720	UU
AT5G03740	UU
AT5G03990	UU
AT5G03995	UU
AT5G04340	UU
AT5G04410	UU
AT5G04610	UU
AT5G04840	UU
AT5G04890	UU
AT5G04980	UU
AT5G05220	UU
AT5G05410	UU
AT5G05480	UU
AT5G06750	UU
AT5G07330	UU
AT5G09590	UU
AT5G09930	UU
AT5G10550	UU
AT5G10695	UU
AT5G10700	UU
AT5G10870	UU
AT5G10890	UU
AT5G11090	UU
AT5G11100	UU
AT5G11140	UU
AT5G11680	UU
AT5G12020	UU
AT5G12030	UU
AT5G12040	UU
