"","description","cluster","Matching.Attribute","ID","shared.name","Family","Class","ABI3VP1_DD","MYBrelated_DD","MYB_DD","CPP_DD","C2C2dof_DD","ZFHD_DD","ARID_DD","Trihelix_DD","NAC_DD","WRKY_DD","C2C2YABBY_DD","ND_DD","Homeobox_DD","BZR_DD","TCP_DD","AP2EREBP_DD","Orphan_DD","bHLH_DD","HB_DD","C2C2gata_DD","HMG_DD","GRF_DD","C2H2_DD"
"1","Histone-fold","UU","AT1G56170","AT1G56170","AT1G56170","NF-YC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Zinc finger, C2H2-like;Zinc finger, C2H2-like","UU","AT5G04340","AT5G04340","AT5G04340","C2H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ATPase, AAA-type, CDC48","UU","AT3G53230","AT3G53230","AT3G53230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","SSF57667","DD","AT1G24625","AT1G24625","AT1G24625","C2H2","pos",2,1,1,1,1,2,4,0,1,1,0,4,1,1,2,0,1,0,0,1,0,0,1
"5","PTHR15921","UU","AT1G66500","AT1G66500","AT1G66500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Transcriptional factor B3;Transcriptional factor B3;Transcriptional factor B3","UU","AT2G24680","AT2G24680","AT2G24680","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","SSF46785","UU","AT3G51910","AT3G51910","AT3G51910","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SSF53756","UU","AT3G11670","AT3G11670","AT3G11670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Basic-leucine zipper (bZIP) transcription factor","UU","AT1G03970","AT1G03970","AT1G03970","bZIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Homeodomain-like;Homeodomain-like","UU","AT2G16720","AT2G16720","AT2G16720","MYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Protein phosphatase 2C-related","UU","AT3G62260","AT3G62260","AT3G62260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Ankyrin repeat-containing domain;Ankyrin repeat;Zinc finger, CCCH-type;Zinc finger, CCCH-type","UU","AT3G55980","AT3G55980","AT3G55980","C3H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","NO_DESCRIPTION","UU","AT2G43018","AT2G43018","AT2G43018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Homeodomain-like","UU","AT2G38250","AT2G38250","AT2G38250","Trihelix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Protein of unknown function DUF623","DD","AT2G32100","AT2G32100","AT2G32100",NA,"pos",3,2,5,1,1,1,2,0,3,1,1,2,1,1,5,2,1,2,0,1,1,0,1
"16","Zinc finger, B-box;Zinc finger, B-box","UU","AT1G78600","AT1G78600","AT1G78600","DBB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AAR2","UU","AT1G66510","AT1G66510","AT1G66510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Plant regulator RWP-RK;Octicosapeptide/Phox/Bem1p","DD","AT4G38340","AT4G38340","AT4G38340","Nin-like","pos",1,0,3,1,1,2,4,0,3,1,1,6,0,1,4,0,1,1,0,1,0,0,0
"19","Protein of unknown function DUF617, plant","DD","AT1G21050","AT1G21050","AT1G21050",NA,"pos",3,1,3,1,1,0,2,0,3,0,0,6,1,2,3,1,1,0,0,1,1,0,1
"20","No apical meristem (NAM) protein","UU","AT5G24590","AT5G24590","AT5G24590","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ZF-HD homeobox protein, Cys/His-rich dimerisation domain;Homeobox domain, ZF-HD class","DD","AT3G28920","AT3G28920","AT3G28920","ZF-HD","pos",3,1,4,2,1,3,5,0,0,1,1,7,1,0,5,0,2,1,1,1,1,0,0
"22","NO_DESCRIPTION","DD","AT4G28280","AT4G28280","AT4G28280",NA,"pos",1,1,3,1,1,3,4,0,1,1,0,3,2,1,1,1,0,1,1,0,1,0,0
"23","Very-long-chain 3-ketoacyl-CoA synthase","UU","AT2G46720","AT2G46720","AT2G46720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","No apical meristem (NAM) protein","DD","AT3G29035","AT3G29035","AT3G29035","NAC","pos",4,2,3,1,0,3,2,1,0,1,1,6,1,0,3,0,2,0,1,1,1,0,0
"25","NO_DESCRIPTION","DD","AT4G35320","AT4G35320","AT4G35320",NA,"pos",0,1,3,1,1,1,3,0,0,1,0,3,1,1,2,0,2,1,0,0,0,0,1
"26","SSF53067;SSF53067;SSF100920","UU","AT2G32120","AT2G32120","AT2G32120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Zinc finger, B-box;CCT domain","DD","AT1G68520","AT1G68520","AT1G68520","CO-like","pos",2,1,2,0,1,2,3,0,1,0,1,2,2,1,3,1,0,0,1,0,0,1,1
"28","SSF52058;Protein kinase-like domain","UU","AT5G48380","AT5G48380","AT5G48380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Transcriptional factor B3","UU","AT2G36080","AT2G36080","AT2G36080","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","HSP20-like chaperone","UU","AT2G29500","AT2G29500","AT2G29500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Basic-leucine zipper (bZIP) transcription factor","DD","AT3G58120","AT3G58120","AT3G58120","bZIP","pos",2,1,4,0,1,1,4,0,2,1,1,5,0,0,4,1,1,1,0,1,0,1,0
"32","DNA-binding, integrase-type","DD","AT1G01250","AT1G01250","AT1G01250","ERF","pos",2,1,3,0,1,1,4,0,2,1,0,5,2,1,4,2,0,2,1,1,1,1,0
"33","Transcription factor, SBP-box","DD","AT2G42200","AT2G42200","AT2G42200","SBP","pos",4,2,5,0,0,2,3,0,2,1,0,5,1,1,2,1,1,1,0,0,0,1,0
"34","Armadillo-type fold","DD","AT5G01830","AT5G01830","AT5G01830",NA,"pos",1,1,2,2,1,2,2,0,1,1,0,6,1,1,2,3,3,0,1,1,1,1,0
"35","SSF57667","UU","AT3G46090","AT3G46090","AT3G46090","C2H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Phosphatidylinositol transfer protein-like, N-terminal;Cellular retinaldehyde-binding/triple function, C-terminal","UU","AT4G36490","AT4G36490","AT4G36490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","DNA-binding, integrase-type","UU","AT1G78080","AT1G78080","AT1G78080","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","SSF47473;SSF47473","UU","AT2G41100","AT2G41100","AT2G41100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Helix-loop-helix DNA-binding","DD","AT1G51140","AT1G51140","AT1G51140","bHLH","pos",1,2,5,1,0,1,5,1,2,1,0,6,1,2,2,1,1,1,1,1,0,1,0
"40","SSF57889;SSF57889;SSF57889;SSF57889;SSF57889","DD","AT4G11550","AT4G11550","AT4G11550",NA,"pos",0,0,3,1,1,0,2,0,0,1,1,0,1,0,0,2,2,1,1,0,0,1,0
"41","DNA-binding WRKY","DD","AT2G40750","AT2G40750","AT2G40750","WRKY","pos",0,1,6,0,1,3,4,0,2,1,1,7,1,1,2,0,2,2,0,1,1,0,0
"42","SSF46785","UU","AT5G62020","AT5G62020","AT5G62020","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","NO_DESCRIPTION","UU","AT1G28190","AT1G28190","AT1G28190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","G-box binding, MFMR;Basic-leucine zipper (bZIP) transcription factor","UU","AT4G01120","AT4G01120","AT4G01120","bZIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Cyclophilin-like","UU","AT1G01940","AT1G01940","AT1G01940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Helix-loop-helix DNA-binding","DD","AT5G51790","AT5G51790","AT5G51790","bHLH","pos",3,1,4,0,0,0,2,0,2,0,0,7,0,2,1,1,0,1,0,1,0,0,0
"47","Chaperone protein htpG","UU","AT2G04030","AT2G04030","AT2G04030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","NO_DESCRIPTION","UU","AT1G35660","AT1G35660","AT1G35660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Transcription factor, GATA, plant","UU","AT4G34680","AT4G34680","AT4G34680","GATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","NO_DESCRIPTION","DD","AT3G52740","AT3G52740","AT3G52740",NA,"pos",1,0,4,1,1,2,4,0,1,0,0,6,0,1,4,0,1,1,0,1,0,1,0
"51","Transcription factor, TCP","DD","AT1G35560","AT1G35560","AT1G35560","TCP","pos",2,1,5,1,1,2,4,0,2,0,0,6,1,1,2,3,2,1,0,1,1,0,1
"52","Protein of unknown function DUF1645","DD","AT3G62630","AT3G62630","AT3G62630",NA,"pos",2,1,4,1,0,2,4,0,4,0,0,2,0,0,0,1,0,0,0,0,0,1,1
"53","Homeodomain-like","DD","AT1G71030","AT1G71030","AT1G71030","MYB_related","pos",1,2,4,2,1,1,3,0,2,1,1,3,1,1,5,0,2,1,1,0,1,1,1
"54","DNA-binding, integrase-type","DD","AT3G54990","AT3G54990","AT3G54990","AP2","pos",0,1,2,1,1,1,4,0,2,1,1,5,1,1,3,2,1,1,1,1,1,0,0
"55","NO_DESCRIPTION","UU","AT2G24100","AT2G24100","AT2G24100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Zinc finger, AN1-type;Zinc finger, AN1-type;Zinc finger, C2H2-like;Zinc finger, C2H2-like","UU","AT2G41835","AT2G41835","AT2G41835","C2H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ATPase, AAA+ type, core;ABC-2 type transporter","DD","AT5G52860","AT5G52860","AT5G52860",NA,"pos",1,1,5,2,0,1,2,1,1,0,0,7,0,0,3,2,1,1,0,1,0,0,1
"58","SSF46785","UU","AT3G02990","AT3G02990","AT3G02990","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","HTH transcriptional regulator, Myb-type, DNA-binding;HTH transcriptional regulator, Myb-type, DNA-binding","UU","AT3G09230","AT3G09230","AT3G09230","MYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","No apical meristem (NAM) protein","DD","AT5G18300","AT5G18300","AT5G18300","NAC","pos",3,1,3,1,1,2,5,0,0,1,2,6,2,0,3,1,0,0,1,1,0,0,0
"61","DNA-binding, integrase-type","UU","AT1G22190","AT1G22190","AT1G22190","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","PS51257;Cupin, RmlC-type","UU","AT3G04200","AT3G04200","AT3G04200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Zinc finger, C2H2-like","UU","AT5G03740","AT5G03740","AT5G03740","C2H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","SSF57850","DD","AT1G76410","AT1G76410","AT1G76410",NA,"pos",3,2,4,1,1,2,3,1,3,0,0,6,0,1,2,1,2,0,0,1,0,0,1
"65","DNA-binding, integrase-type","UU","AT2G38340","AT2G38340","AT2G38340","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Zinc finger, AN1-type;Zinc finger, AN1-type","UU","AT3G28210","AT3G28210","AT3G28210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CCAAT-binding transcription factor, subunit B","UU","AT1G54160","AT1G54160","AT1G54160","NF-YA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Transcriptional factor DELLA, N-terminal;Transcription factor GRAS","DD","AT1G14920","AT1G14920","AT1G14920","GRAS","pos",2,2,4,1,0,3,4,1,0,0,1,3,1,1,2,1,1,0,1,0,0,0,1
"69","Zinc finger, Dof-type","UU","AT4G00940","AT4G00940","AT4G00940","Dof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","No apical meristem (NAM) protein","DD","AT5G46590","AT5G46590","AT5G46590","NAC","pos",2,2,7,0,1,1,4,0,0,1,2,6,1,1,4,0,2,2,0,1,1,0,1
